ProductID,ReviewText
P001,"Absolutely love this product! It exceeded my expectations. Highly recommended."
P002,"The quality is terrible. It broke after just one week. Very disappointed."
P003,"It's okay. Does the job, but nothing special. Fairly average."
P004,"Wow! Fantastic value for the price. Works perfectly."
P005,"I expected more. The features are limited and the manual is unclear."
P006,"This is a decent product for beginners."
P007,"Completely useless. A waste of money. Avoid at all costs."
P008,"Five stars! Couldn't be happier with this purchase."
P009,"The setup was a bit complicated, but it works well now."
P010,"It arrived damaged. The packaging was insufficient."
